Date,Solar_Irradiance,Temperature,Humidity,Wind_Speed,Precipitation,Location,Month,Year,DayOfYear,Season,Solar_Lag_1,Solar_Lag_7,Solar_Rolling_Mean_7
2022-11-01,5.2846,23.16,73.36,2.46,0.0,Ghatkopar,11,2022,305,Post-Monsoon,5.3239,5.909,5.456271428571428
2022-11-02,5.4713,23.33,74.5,2.4,0.0,Ghatkopar,11,2022,306,Post-Monsoon,5.2846,5.7737,5.4130714285714285
2022-11-03,5.6707,23.42,72.35,2.74,0.0,Ghatkopar,11,2022,307,Post-Monsoon,5.4713,5.3995,5.451814285714286
2022-11-04,5.6021,23.32,70.4,2.52,0.0,Ghatkopar,11,2022,308,Post-Monsoon,5.6707,5.3206,5.4920285714285715
2022-11-05,5.621,23.81,65.34,2.68,0.0,Ghatkopar,11,2022,309,Post-Monsoon,5.6021,5.5822,5.497571428571429
2022-11-06,5.4533,24.19,64.19,2.46,0.0,Ghatkopar,11,2022,310,Post-Monsoon,5.621,5.5094,5.4895571428571435
2022-11-07,5.0738,24.29,67.23,1.87,0.0,Ghatkopar,11,2022,311,Post-Monsoon,5.4533,5.3239,5.453828571428572
2022-11-08,4.9183,24.52,72.17,1.58,0.0,Ghatkopar,11,2022,312,Post-Monsoon,5.0738,5.2846,5.4015
2022-11-09,4.8077,24.71,70.99,1.31,0.0,Ghatkopar,11,2022,313,Post-Monsoon,4.9183,5.4713,5.3067
2022-11-10,4.9694,23.74,74.49,2.46,0.0,Ghatkopar,11,2022,314,Post-Monsoon,4.8077,5.6707,5.206514285714285
2022-11-11,4.7765,23.31,76.4,2.73,0.0,Ghatkopar,11,2022,315,Post-Monsoon,4.9694,5.6021,5.088571428571428
2022-11-12,4.7446,23.67,77.02,2.8,0.12,Ghatkopar,11,2022,316,Post-Monsoon,4.7765,5.621,4.9633714285714285
2022-11-13,4.7273,23.47,75.02,2.59,0.61,Ghatkopar,11,2022,317,Post-Monsoon,4.7446,5.4533,4.859657142857143
2022-11-14,4.7566,23.84,75.93,1.84,0.0,Ghatkopar,11,2022,318,Post-Monsoon,4.7273,5.0738,4.814342857142857
2022-11-15,4.8574,23.7,74.1,1.79,0.0,Ghatkopar,11,2022,319,Post-Monsoon,4.7566,4.9183,4.805642857142857
2022-11-16,5.0503,22.94,73.12,1.84,0.0,Ghatkopar,11,2022,320,Post-Monsoon,4.8574,4.8077,4.8403
2022-11-17,4.8917,22.3,72.28,2.49,0.0,Ghatkopar,11,2022,321,Post-Monsoon,5.0503,4.9694,4.8292
2022-11-18,5.3611,21.78,70.73,2.71,0.0,Ghatkopar,11,2022,322,Post-Monsoon,4.8917,4.7765,4.912714285714285
2022-11-19,5.0448,21.74,70.07,2.86,0.0,Ghatkopar,11,2022,323,Post-Monsoon,5.3611,4.7446,4.9556
2022-11-20,5.2975,20.25,68.97,2.79,0.0,Ghatkopar,11,2022,324,Post-Monsoon,5.0448,4.7273,5.037057142857143
2022-11-21,5.1482,20.47,66.35,2.35,0.0,Ghatkopar,11,2022,325,Post-Monsoon,5.2975,4.7566,5.093000000000001
2022-11-22,4.9138,21.81,70.34,2.1,0.01,Ghatkopar,11,2022,326,Post-Monsoon,5.1482,4.8574,5.101057142857143
2022-11-23,4.8012,23.24,73.28,2.12,0.0,Ghatkopar,11,2022,327,Post-Monsoon,4.9138,5.0503,5.065471428571429
2022-11-24,4.8264,23.4,72.95,2.08,0.0,Ghatkopar,11,2022,328,Post-Monsoon,4.8012,4.8917,5.0561428571428575
2022-11-25,4.2367,24.42,77.58,2.12,0.0,Ghatkopar,11,2022,329,Post-Monsoon,4.8264,5.3611,4.8955142857142855
2022-11-26,4.1345,24.65,78.95,1.72,0.0,Ghatkopar,11,2022,330,Post-Monsoon,4.2367,5.0448,4.765471428571429
2022-11-27,4.3152,24.02,78.18,1.7,0.0,Ghatkopar,11,2022,331,Post-Monsoon,4.1345,5.2975,4.625142857142857
2022-11-28,4.9073,23.55,72.9,1.35,0.0,Ghatkopar,11,2022,332,Post-Monsoon,4.3152,5.1482,4.5907285714285715
2022-11-29,4.6541,22.78,68.11,1.51,0.0,Ghatkopar,11,2022,333,Post-Monsoon,4.9073,4.9138,4.553628571428571
2022-11-30,4.3097,23.2,72.18,2.04,0.0,Ghatkopar,11,2022,334,Post-Monsoon,4.6541,4.8012,4.483414285714286
2022-12-01,4.385,22.89,65.19,2.22,0.0,Ghatkopar,12,2022,335,Winter,4.3097,4.8264,4.420357142857143
2022-12-02,4.6298,22.96,64.95,1.84,0.0,Ghatkopar,12,2022,336,Winter,4.385,4.2367,4.476514285714286
2022-12-03,4.3231,24.24,69.27,1.51,0.0,Ghatkopar,12,2022,337,Winter,4.6298,4.1345,4.503457142857143
2022-12-04,3.427,25.5,77.46,1.49,0.0,Ghatkopar,12,2022,338,Winter,4.3231,4.3152,4.376571428571429
2022-12-05,3.5597,25.81,77.54,1.45,0.01,Ghatkopar,12,2022,339,Winter,3.427,4.9073,4.184057142857143
2022-12-06,4.0092,24.84,75.12,1.87,0.01,Ghatkopar,12,2022,340,Winter,3.5597,4.6541,4.091928571428572
2022-12-07,3.8131,24.1,73.83,2.05,0.0,Ghatkopar,12,2022,341,Winter,4.0092,4.3097,4.020985714285714
2022-12-08,3.948,22.06,68.79,2.66,1.71,Ghatkopar,12,2022,342,Winter,3.8131,4.385,3.958557142857143
2022-12-09,5.0153,20.37,64.82,2.79,1.44,Ghatkopar,12,2022,343,Winter,3.948,4.6298,4.013628571428572
